model,demand,epq,total_cycle,production_cycle,depletion_cycle,runs,setup,holding,total
Savage 455 BayCruiser,5,12,876,4,872,0,0,4059.6,4060
Savage 455 Safari (2) L/S,1,5,1825,2,1823,0,0,1698.3,1698
Savage 455 Safari (2) L/S (EXPORT ONLY),10,17,620,6,614,1,5000,5722.2,10722
Savage 455 Scorpion CC,1,5,1825,2,1823,0,0,1698.3,1698
Savage 455 Scorpion SC,6,13,791,5,786,0,0,4393.4800000000005,4393
Savage 485 BayCruiser,7,14,730,5,725,0,0,4726.679999999999,4727
Savage 485 Safari (2) L/S,4,11,1004,4,1000,0,0,3725.04,3725
Savage 485 Scorpion Pro S.C.,1,5,1825,2,1823,0,0,1698.3,1698
Savage 485 Scorpion SC (INDENT),1,5,1825,2,1823,0,0,1698.3,1698
Savage 515 BayCruiser,1,5,1825,2,1823,0,0,1698.3,1698
Savage 515 Beachcomber,1,5,1825,2,1823,0,0,1698.3,1698
Savage 515 Blue Water,4,11,1004,4,1000,0,0,3725.04,3725
Savage 525 Safari (2) L/S,2,8,1460,3,1457,0,0,2714.56,2715
Savage 525 Safari (2) L/S (EXPORT ONLY),6,13,791,5,786,0,0,4393.4800000000005,4393
Savage 545 BayCruiser,3,9,1095,3,1092,0,0,3050.82,3051
Savage 545 Blue Water,4,11,1004,4,1000,0,0,3725.04,3725
Stacer 300 Skimma (2) S/S,15,21,511,8,503,1,5000,7032.9,12033
Stacer 309 Stinga (2) S/S,3,9,1095,3,1092,0,0,3050.82,3051
Stacer 319 Classic (2) S/S,27,29,392,11,381,1,5000,9593.779999999999,14594
Stacer 319 Proline (2) S/S,5,12,876,4,872,0,0,4059.6,4060
Stacer 319 Seasprite Dinghy (2) S/S,4,11,1004,4,1000,0,0,3725.04,3725
Stacer 320 Skimma (2) S/S,14,20,521,7,514,1,5000,6704.799999999999,11705
Stacer 349 Territory Striker (2) L/S,52,40,281,15,266,1,5000,12892.800000000001,17893
Stacer 349 Territory Striker (2) S/S,27,29,392,11,381,1,5000,9593.779999999999,14594
Stacer 359 Proline (2) L/S,13,20,562,7,554,1,5000,6711.599999999999,11712
Stacer 359 Proline (2) S/S,15,21,511,8,503,1,5000,7032.9,12033
Stacer 360 Skimma (2) S/S,13,20,562,7,554,1,5000,6711.599999999999,11712
Stacer 369 Seasprite Dinghy (2) L/S,6,13,791,5,786,0,0,4393.4800000000005,4393
Stacer 369 Territory Striker (2) L/S,105,59,205,22,184,2,10000,17953.7,27954
Stacer 379 Proline (2) L/S,22,26,431,9,422,1,5000,8645.52,13646
